ch_isco_4digit,delta_bfs,is_outlier,main_group,delta_x28,delta_x28_pre,did_x28,is_outlier_x28,ads_2022,ads_2024,ads_2020
1112,14.44437869484354,False,1,-10.781313309826974,51.67434501575623,-62.4556583255832,False,869.9775,776.1825,573.5825
1120,1.7107154846984889,False,1,-17.090807056925406,37.70316662706209,-54.793973683987495,False,1781.9375,1477.3899999999999,1294.0425
1210,5.024012734037623,False,1,-32.856409711899204,99.14713656387667,-132.00354627577588,False,282.54,189.7075,141.875
1211,-7.322497252721817,False,1,-12.743887823585801,48.46842999617441,-61.21231781976021,False,417.2,364.0325,281.0025
1212,1.1763416091004855,False,1,-21.42587381065506,71.75050217609642,-93.17637598675148,False,410.41499999999996,322.48,238.95999999999998
1213,14.891225113959267,False,1,-45.053402036965274,71.80032255335638,-116.85372459032166,False,1573.91,864.81,916.1275
1219,17.701069218868735,False,1,-17.653039377686536,63.71598499980904,-81.36902437749558,False,9107.95,7500.12,5563.2625
1221,4.713553274620107,False,1,-23.783749191636133,55.15982618102571,-78.94357537266184,False,1484.48,1131.415,956.7425000000001
1222,24.822488149598072,False,1,-31.154487357599326,67.13104857434753,-98.28553593194685,False,179.95,123.8875,107.67
1223,18.020246218632117,False,1,-30.26370711165117,35.95081967213117,-66.21452678378233,False,269.52250000000004,187.955,198.25
1321,-1.8948689340589904,False,1,-20.529717399569126,46.59695590440425,-67.12667330397338,False,552.37,438.97,376.795
1323,2.2999481365712273,False,1,13.79135811978038,26.053065923244432,-12.261707803464052,False,227.2075,258.5425,180.2475
1324,11.483540430488347,False,1,-28.259697449227843,68.31344946398403,-96.57314691321187,False,570.3175,409.1475,338.8425
1330,-5.374491292676939,False,1,-63.939439309515066,125.10595891606697,-189.04539822558203,False,2320.9775,836.9575,1031.06
1341,-11.554476973672669,False,1,-9.42374870003466,50.81235421861175,-60.23610291864641,False,93.7525,84.9175,62.165
1342,-16.01140763659569,False,1,-18.175368711415835,28.127258355916883,-46.30262706733272,False,567.3475,464.23,442.8
1345,-6.693310805063635,False,1,10.840357552476847,38.47705242459003,-27.636694872113182,False,274.645,304.4175,198.33249999999998
1346,-3.3706971997394213,False,1,-9.588863988967418,84.10028562361158,-93.689149612579,False,232.04000000000002,209.79000000000002,126.03999999999999
1349,4.65508308680129,False,1,-23.9303934336133,36.74966506551647,-60.68005849912977,False,418.495,318.3475,306.03
1412,-5.47592398648079,False,1,-13.71584741640867,82.32478921216727,-96.04063662857594,False,323.8225,279.4075,177.6075
1420,8.313435397703907,False,1,-26.66686222170074,40.052995912330786,-66.71985813403153,False,170.45499999999998,125.0,121.7075
1439,-12.165368622626788,False,1,-13.079363645601628,47.08217085160087,-60.161534497202496,False,221.4175,192.4575,150.54000000000002
2000,-6.039036200333869,False,2,-21.673096869139002,28.037904889127415,-49.71100175826642,False,1634.215,1280.03,1276.3525
2111,7.279471975928281,False,2,7.3452661692503955,16.607311905513246,-9.26204573626285,False,64.6675,69.4175,55.457499999999996
2113,-25.657051684490156,False,2,-36.12786768903219,45.84627154493496,-81.97413923396715,False,162.0425,103.5,111.105
2120,30.77306189244979,False,2,-30.24204437243279,14.397437565036414,-44.639481937469206,False,175.89749999999998,122.70250000000001,153.76
2131,11.293192447554636,False,2,-34.029719317556406,72.37126702842183,-106.40098634597823,False,113.5625,74.9175,65.8825
2141,-3.4113833788767387,False,2,-21.577575764990886,95.80518422691775,-117.38275999190863,False,204.3325,160.2425,104.355
2142,-10.828876725506763,False,2,-2.0724508005378595,29.651976668826958,-31.724427469364816,False,500.1325,489.7675,385.75
2143,13.176421351911834,False,2,3.1675535257887466,41.36705561807738,-38.19950209228863,False,59.667500000000004,61.557500000000005,42.207499999999996
2144,8.453074726624155,False,2,-15.349120869004878,99.8206525488032,-115.16977341780807,False,217.26,183.9125,108.72749999999999
2149,-6.754156071991167,False,2,-24.227522499582886,66.8152877828713,-91.04281028245418,False,4585.085,3474.2325,2748.6
2151,15.215205434231253,False,2,-33.20399271624829,64.36473611633443,-97.5687288325827,False,262.22749999999996,175.1575,159.54000000000002
2152,11.772856190832965,False,2,-33.937092718969666,112.3524497875277,-146.28954250649736,False,146.1675,96.5625,68.8325
2161,9.894978048683711,False,2,-23.24250497060319,49.43897862750411,-72.6814835981073,False,702.8824999999999,539.515,470.3475
2162,5.71050797940129,False,2,-32.83744741243854,56.164166699647744,-89.00161411208629,False,98.645,66.2525,63.167500000000004
2163,1.1065884083467579,False,2,-37.318424197848685,100.96073903002312,-138.2791632278718,False,217.54000000000002,136.3575,108.25
2164,34.67581706470658,False,2,-12.887762677943126,64.45388188453883,-77.34164456248196,False,154.895,134.9325,94.1875
2165,12.150989028182206,False,2,-17.20069890566088,27.210588766148042,-44.41128767180892,False,190.2975,157.565,149.5925
2166,10.20017076159689,False,2,-36.500142206566174,69.17917413056458,-105.67931633713076,False,729.5725,463.2775,431.2425
2211,23.921373040475938,False,2,-9.9530055607523,23.45608898893162,-33.40909454968392,False,1787.9775,1610.02,1448.27
2212,-2.7904627329039604,False,2,-10.053117932948279,45.16944661510963,-55.2225645480579,False,808.1075,726.8675,556.665
2221,5.464584482285454,False,2,-11.06067744348587,35.17046184045719,-46.231139283943065,False,5921.97,5266.96,4381.1125
2222,12.899634256240015,False,2,-46.49053133230217,73.59846148263723,-120.0889928149394,False,119.605,64.0,68.89750000000001
2250,-3.240518553862183,False,2,-39.20976591669101,67.99934547834623,-107.20911139503724,False,77.0025,46.81,45.835
2261,12.185403600103523,False,2,-2.504196736064245,49.117419354838724,-51.62161609090297,False,144.4575,140.84,96.875
2262,-6.325399884219272,False,2,-46.28283631350724,62.86781738913505,-109.15065370264229,False,685.5024999999999,368.2325,420.895
2263,5.182528827238589,False,2,-7.530120481927711,71.7270987430818,-79.25721922500951,False,83.0,76.75,48.332499999999996
2264,22.200468481542472,False,2,-17.927739653272855,30.57168292305311,-48.49942257632597,False,506.0175,415.3,387.53999999999996
2265,-2.5245125301036797,False,2,-27.659574468085108,93.21118158327461,-120.87075605135972,False,82.25,59.5,42.57
2266,5.1086153670915495,False,2,-0.01702610669693825,29.528890382474643,-29.54591648917158,False,308.35,308.2975,238.055
2269,13.288390073013618,False,2,-24.042702822895496,47.20596183270025,-71.24866465559575,False,966.915,734.4425,656.845
2300,7.193063935381246,False,2,73.86079279738264,35.15699309150408,38.703799705878566,True,1943.1825,3378.4325,1437.7225
2310,5.922274763909165,False,2,-23.276664939200717,36.907617204068885,-60.1842821432696,False,1331.43,1021.5174999999999,972.5025
2320,-15.437625533340599,False,2,-12.152116824832229,64.67829031667583,-76.83040714150806,False,359.855,316.125,218.52
2330,19.975657554510555,False,2,-22.46128500823723,39.43338437978561,-61.894669388022834,False,227.625,176.4975,163.25
2341,8.640915741075252,False,2,-35.887877381885666,44.2376923076923,-80.12556968957796,False,468.7725,300.54,325.0
2342,-3.4070721128704475,False,2,-34.4692219617251,20.882607713166614,-55.35182967489171,False,320.9675,210.33249999999998,265.52
2351,9.104617932851115,False,2,8.597568552729681,44.028158930915154,-35.43059037818547,False,482.84,524.3525,335.24
2352,-4.290954457192263,False,2,12.430013063434997,50.20873394285551,-37.77872087942051,False,1050.6425,1181.2375,699.4549999999999
2353,-3.037935511866393,False,2,-15.553873552983077,46.25633278199601,-61.810206334979085,False,280.75,237.0825,191.9575
2359,-4.207616208876465,False,2,-3.496535796766735,29.505009720352927,-33.00154551711966,False,541.25,522.325,417.9375
2411,6.285684043086613,False,2,-18.983735099141704,73.86167341647555,-92.84540851561727,False,1351.2225,1094.71,777.1825
2412,4.628597310126321,False,2,-23.37399997951302,71.40373979457465,-94.77773977408766,False,1220.2875,935.0575,711.9375
2413,6.768932325852428,False,2,-40.084993238431835,104.61849000106942,-144.70348323950125,False,765.355,458.5625,374.03999999999996
2421,8.184937686697829,False,2,-33.764146676196845,78.38678141135973,-112.15092808755658,False,1619.4175,1072.635,907.8125
2422,74.2896888654673,True,2,-47.447396785228925,78.84591208146502,-126.29330886669393,False,533.475,280.355,298.2875
2423,25.365483554832863,False,2,-23.33015545912757,105.2528445867684,-128.58300004589597,False,1882.81,1443.5475000000001,917.3125
2424,4.2537748424225486,False,2,-18.605307992966402,86.95430002214313,-105.55960801510953,False,274.3975,223.345,146.77249999999998
2431,-0.025614989506089904,False,2,-52.09463474536382,97.48872206133149,-149.5833568066953,False,4047.245,1938.8474999999999,2049.355
2432,-3.069907631481635,False,2,-46.91273080660835,116.78309892387941,-163.69582973048776,False,643.125,341.4175,296.6675
2433,15.415450098899067,False,2,-24.33651290070367,63.41455935564324,-87.75107225634692,False,399.6875,302.4175,244.58499999999998
2434,-16.067552698849465,False,2,-63.57279084551812,88.75999999999999,-152.3327908455181,False,82.5825,30.0825,43.75
2510,10.956709159078612,False,2,-53.37019975007926,97.08871694021207,-150.45891669029132,False,268.085,125.00750000000001,136.0225
2511,8.102901968455852,False,2,-56.17088058302519,88.27929724917452,-144.4501778321997,False,2088.4175,915.335,1109.2125
2512,4.756903336283109,False,2,-58.00549581000383,76.01561899740831,-134.02111480741215,False,7044.4575,2958.285,4002.1775
2513,-6.10848869084292,False,2,-68.27093214394154,40.469230854079576,-108.7401629980211,False,955.11,303.0475,679.9425
2514,9.495022464225034,False,2,-52.04605180828431,47.17849907201449,-99.2245508802988,False,259.7075,124.54,176.4575
2519,8.947371261626799,False,2,-55.934223725879725,80.57854468732016,-136.5127684131999,False,1270.975,560.065,703.835
2521,31.35878800654129,False,2,-56.95418866351765,106.39179938113045,-163.3459880446481,False,863.76,371.8125,418.505
2522,-10.67851919484203,False,2,-58.06561172652738,90.30223970300189,-148.36785142952925,False,2414.355,1012.4449999999999,1268.6950000000002
2523,15.853882091592325,False,2,-45.809211331956746,53.27068326116924,-99.07989459312599,False,592.0425,320.8325,386.27250000000004
2529,35.244868691343676,False,2,-56.203098556793684,90.5608632714831,-146.7639618282768,False,2715.135,1189.145,1424.8125
2611,2.5900534604476935,False,2,-1.4062589320308103,38.393312353861575,-39.799571285892384,False,393.59749999999997,388.0625,284.405
2619,0.5685905191288955,False,2,-27.091700323177925,63.32980204240013,-90.42150236557805,False,1325.895,966.6875,811.79
2622,-18.601118735157595,False,2,-40.30593373026763,65.34206645524358,-105.64800018551122,False,838.09,500.29,506.8825
2631,-3.5877926989257847,False,2,-30.033743379463523,49.39697530470295,-79.43071868416646,False,117.06,81.9025,78.355
2634,6.696095398613619,False,2,11.520297385206767,73.28892467608523,-61.76862729087846,False,591.825,660.005,341.525
2635,4.199509809449249,False,2,5.904140272862858,63.43725264445563,-57.53311237159278,False,908.515,962.155,555.88
2636,-1.3133456209140169,False,2,36.030401737242116,-5.828220858895705,41.85862259613782,False,115.125,156.605,122.25
2641,-6.4213423466099275,False,2,-45.21649822641478,77.89019559676977,-123.10669382318454,False,289.6675,158.69,162.83499999999998
2642,3.6057230876593445,False,2,-62.67012868433818,144.36619718309862,-207.0363258674368,False,262.8525,98.1225,107.565
2643,2.0629146837573633,False,2,-21.700471698113205,41.333333333333336,-63.03380503144654,False,106.0,82.9975,75.0
2654,15.185684568931535,False,2,-57.81627826641511,189.12876459741855,-246.94504286383366,False,94.0825,39.6875,32.54
3000,1.5862804396133419,False,3,-11.693592723329555,68.70846206495109,-80.40205478828065,False,1318.735,1164.5275,781.665
3111,-7.007106968561465,False,3,-24.578214923945005,28.400303534003022,-52.97851845794803,False,177.6675,134.0,138.37
3112,1.1121365671922114,False,3,-4.488663955574188,35.74031017311308,-40.22897412868727,False,1513.5349999999999,1445.5975,1115.0225
3113,1.5807988536371664,False,3,5.155879880797739,62.09947745306755,-56.94359757226981,False,523.48,550.47,322.9375
3115,8.663945221420533,False,3,-6.405105176081313,120.89051312649168,-127.29561830257299,False,74.0425,69.3,33.519999999999996
3118,4.637777016294312,False,3,-7.717830052009819,38.25120465859888,-45.969034710608696,False,2164.0150000000003,1997.0,1565.2775000000001
3119,1.6272447573006399,False,3,-13.02024399288751,74.33980405483813,-87.36004804772564,False,262.9175,228.685,150.8075
3122,-0.6918545824610831,False,3,2.9054227959373637,94.39996920945268,-91.49454641351531,False,757.635,779.6475,389.73
3123,7.341962358964843,False,3,-5.295487885821053,31.896753616076907,-37.19224150189796,False,591.3525,560.0375,448.34499999999997
3132,-11.340769437431074,False,3,-3.8812351543943064,47.89573526312093,-51.77697041751524,False,52.625,50.582499999999996,35.582499999999996
3139,41.290583112449646,True,3,-21.29158861832128,74.04781618712481,-95.3394048054461,False,84.0825,66.18,48.31
3141,-3.5863230283961043,False,3,-28.955756470140127,53.13277052954719,-82.08852699968732,False,249.415,177.195,162.875
3211,12.355630670387821,False,3,-10.515713134568896,39.725503000551704,-50.2412161351206,False,310.25,277.625,222.0425
3213,12.938833401609873,False,3,-37.920613678308705,60.75168464677782,-98.67229832508653,False,1143.27,709.735,711.2025
3214,-9.276261385655218,False,3,17.583603020496223,34.961509763598976,-17.377906743102752,False,185.4,218.0,137.3725
3221,15.64584834411004,False,3,3.6331021226174105,52.76538482379929,-49.13228270118188,False,2960.1425,3067.6875,1937.705
3251,11.346497580433075,False,3,16.07403701850924,61.1446997178557,-45.07066269934646,False,249.875,290.03999999999996,155.0625
3252,-2.470545011933432,False,3,-15.994311717861196,36.262169033298186,-52.25648075115938,False,219.75,184.60250000000002,161.27
3254,-11.212312649978735,False,3,-9.701779505011244,121.458208765922,-131.15998827093324,False,305.5625,275.9175,137.9775
3255,-2.9197641083992236,False,3,3.8217592592592573,7.8678618692102145,-4.046102609950957,False,108.0,112.1275,100.1225
3256,-0.7566030025209012,False,3,0.25394891966945143,45.61541966348815,-45.36147074381869,False,894.865,897.1375,614.54
3258,12.675399704478277,False,3,13.894356575504263,93.06567711360483,-79.17132053810057,False,107.9575,122.95750000000001,55.917500000000004
3259,3.1233171310394097,False,3,5.964687673169921,31.76473550368859,-25.800047830518672,False,261.66499999999996,277.27250000000004,198.58499999999998
3310,-23.954168133378307,False,3,-42.7144599652453,99.45178087898356,-142.16624084422887,False,598.48,342.8425,300.0625
3311,2.1680827005261043,False,3,-46.906843731510094,98.88570888963142,-145.7925526211415,False,342.2475,181.70999999999998,172.0825
3312,9.143676434404602,False,3,-35.028606413747966,44.18958615546186,-79.21819256920983,False,236.83499999999998,153.875,164.2525
3313,1.2929950783281245,False,3,-9.336099585062236,71.50743240996307,-80.8435319950253,False,515.74,467.59000000000003,300.71000000000004
3315,-0.8969205988883489,False,3,-17.33473684210527,61.564625850340136,-78.89936269244541,False,59.375,49.082499999999996,36.75
3321,0.6588933582317137,False,3,-19.272187671707506,79.63963057733292,-98.91181824904044,False,714.3325,576.665,397.64750000000004
3322,-2.1130865811129196,False,3,5.408843683533294,67.97275710792388,-62.56391342439059,False,7379.165,7778.2925,4393.0725
3323,1.6052996370863597,False,3,-32.05910711187348,82.03767821588212,-114.09678532775561,False,1138.2725,773.3525,625.295
3331,-18.398159675292963,False,3,-27.04572965702758,82.0808894657573,-109.12661912278487,False,371.75,271.2075,204.1675
3332,24.934498839455642,False,3,-27.08853664366907,154.1095890410959,-181.19812568476496,False,303.2925,221.135,119.355
3333,-0.7813223426707291,False,3,11.417291112722598,2.950284797876463,8.467006314846135,False,93.0825,103.71000000000001,90.41499999999999
3334,-0.02047968566689943,False,3,58.31078380887812,127.1244073154211,-68.81362350654297,True,1257.4175,1990.6275,553.625
3339,-25.23132727990804,False,3,-17.754658385093173,14.050933304997704,-31.80559169009088,False,80.5,66.2075,70.5825
3342,-34.98863790325068,True,3,2.0853400929446613,50.89311896778141,-48.80777887483675,False,295.875,302.045,196.0825
3343,0.4851455892311484,False,3,-23.95713192140852,70.88166041684835,-94.83879233825687,False,1224.6875,931.2875,716.6875
3344,8.878196323643294,False,3,-12.306125447792583,73.32238488763207,-85.62851033542465,False,493.39250000000004,432.675,284.6675
3352,7.770031704830724,False,3,14.00749063670412,39.25397421454499,-25.24648357784087,False,83.4375,95.125,59.917500000000004
3353,-5.1259085245684695,False,3,30.478977688433638,61.48454885406869,-31.005571165635054,False,351.9475,459.2175,217.945
3355,108.46485335683201,True,3,-19.63166041398849,55.795798250633524,-75.42745866462201,False,95.29249999999999,76.58500000000001,61.165
3411,0.8717809279335977,False,3,4.4017774796679925,61.17567567567567,-56.77389819600768,False,119.27,124.52000000000001,74.0
3412,9.724730419582913,False,3,5.816546762589934,-3.74961049752449,9.566157260114425,False,69.5,73.5425,72.2075
3422,-0.5779948542670491,False,3,-8.807914651205904,18.58299190566605,-27.390906556871954,False,148.3325,135.2675,125.08749999999999
3423,17.65825235636267,False,3,32.675119780539305,-1.6639421194284034,34.33906189996771,False,395.515,524.75,402.2075
3432,-17.52054260011844,False,3,-40.70674621385957,56.164894074477544,-96.87164028833712,False,136.1875,80.75,87.2075
3433,13.48502312839967,False,3,-7.213848241464047,56.70689655172415,-63.9207447931882,False,68.1675,63.25,43.5
3434,-15.775953277624835,False,3,-5.0872228240808814,54.797065969238204,-59.88428879331909,False,833.0675,790.6875,538.1675
3435,-4.031817033282524,False,3,-23.494363929146534,99.07674552798615,-122.57110945713268,False,77.625,59.3875,38.9925
3510,-29.441805772450657,False,3,-46.42404934035861,56.11171332015559,-102.5357626605142,False,61.207499999999996,32.792500000000004,39.207499999999996
3511,10.911362229938213,False,3,-62.85329744279946,114.95110802522713,-177.80440546802657,False,92.875,34.5,43.207499999999996
3512,1.1485353049634035,False,3,-58.40381983870498,112.64437554481339,-171.04819538351836,False,2146.6875,892.9399999999999,1009.52
3521,-10.284930733748663,False,3,-23.081283658237005,83.41612754158962,-106.49741119982662,False,158.765,122.12,86.56
